Date,Open,High,Low,Close,Adj Close,Volume
16-Sep-13,"3,755.00","3,756.24","3,712.47","3,717.85","3,717.85","1,542,500,000"
13-Sep-13,"3,723.27","3,724.73","3,701.88","3,722.18","3,722.18","1,460,190,000"
12-Sep-13,"3,724.53","3,731.84","3,713.08","3,715.97","3,715.97","1,653,860,000"
11-Sep-13,"3,710.79","3,726.59","3,704.22","3,725.01","3,725.01","1,722,380,000"
10-Sep-13,"3,724.67","3,729.38","3,716.44","3,729.02","3,729.02","1,842,570,000"
9-Sep-13,"3,675.12","3,708.42","3,675.12","3,706.18","3,706.18","1,664,290,000"
6-Sep-13,"3,672.82","3,677.07","3,618.77","3,660.01","3,660.01","1,647,310,000"
5-Sep-13,"3,652.44","3,665.01","3,651.17","3,658.78","3,658.78","1,550,180,000"
4-Sep-13,"3,619.05","3,651.78","3,612.22","3,649.04","3,649.04","1,855,980,000"
3-Sep-13,"3,622.64","3,637.06","3,593.62","3,612.61","3,612.61","1,628,810,000"
30-Aug-13,"3,621.59","3,621.78","3,581.05","3,589.87","3,589.87","1,328,320,000"
29-Aug-13,"3,587.07","3,635.84","3,587.07","3,620.30","3,620.30","1,344,900,000"
28-Aug-13,"3,579.11","3,607.36","3,578.80","3,593.35","3,593.35","1,370,650,000"
27-Aug-13,"3,616.06","3,629.95","3,573.57","3,578.52","3,578.52","1,640,040,000"
26-Aug-13,"3,661.81","3,684.22","3,652.26","3,657.57","3,657.57","1,404,230,000"
23-Aug-13,"3,659.21","3,660.66","3,643.86","3,657.79","3,657.79","1,499,890,000"
22-Aug-13,"3,614.14","3,639.21","3,613.93","3,638.71","3,638.71","927,400,000"
21-Aug-13,"3,603.68","3,630.23","3,589.02","3,599.79","3,599.79","1,438,510,000"
20-Aug-13,"3,596.77","3,625.26","3,593.14","3,613.59","3,613.59","1,308,280,000"
19-Aug-13,"3,601.88","3,623.48","3,589.03","3,589.09","3,589.09","1,381,050,000"
16-Aug-13,"3,603.78","3,621.46","3,598.65","3,602.78","3,602.78","1,520,430,000"
15-Aug-13,"3,625.36","3,626.77","3,600.96","3,606.12","3,606.12","1,742,510,000"
14-Aug-13,"3,683.97","3,686.55","3,668.74","3,669.27","3,669.27","1,589,370,000"
13-Aug-13,"3,675.37","3,691.06","3,648.82","3,684.44","3,684.44","1,644,730,000"
12-Aug-13,"3,645.78","3,673.51","3,645.39","3,669.95","3,669.95","1,422,420,000"
9-Aug-13,"3,664.27","3,677.83","3,649.69","3,660.11","3,660.11","1,546,570,000"
8-Aug-13,"3,672.21","3,675.71","3,649.64","3,669.12","3,669.12","1,702,950,000"
7-Aug-13,"3,658.53","3,663.20","3,633.59","3,654.01","3,654.01","1,659,780,000"
6-Aug-13,"3,685.39","3,690.32","3,654.67","3,665.77","3,665.77","1,444,200,000"
5-Aug-13,"3,682.67","3,694.19","3,681.34","3,692.95","3,692.95","1,471,860,000"
2-Aug-13,"3,671.11","3,689.59","3,663.88","3,689.59","3,689.59","1,683,270,000"
1-Aug-13,"3,654.18","3,678.50","3,653.74","3,675.74","3,675.74","1,863,290,000"
31-Jul-13,"3,627.66","3,649.35","3,624.77","3,626.37","3,626.37","1,942,380,000"
30-Jul-13,"3,612.36","3,629.12","3,606.33","3,616.47","3,616.47","1,763,580,000"
29-Jul-13,"3,604.29","3,618.86","3,592.80","3,599.14","3,599.14","1,545,720,000"
26-Jul-13,"3,584.85","3,613.33","3,581.26","3,613.16","3,613.16","1,796,060,000"
25-Jul-13,"3,589.46","3,606.19","3,579.20","3,605.19","3,605.19","2,203,970,000"
24-Jul-13,"3,605.26","3,606.28","3,573.53","3,579.60","3,579.60","1,856,660,000"
23-Jul-13,"3,606.70","3,606.70","3,576.96","3,579.27","3,579.27","1,620,350,000"
22-Jul-13,"3,599.87","3,601.92","3,587.46","3,600.39","3,600.39","1,507,010,000"
19-Jul-13,"3,581.90","3,589.05","3,578.57","3,587.61","3,587.61","1,785,460,000"
18-Jul-13,"3,610.03","3,624.54","3,607.09","3,611.28","3,611.28","1,719,390,000"
17-Jul-13,"3,608.13","3,615.79","3,600.69","3,610.00","3,610.00","1,564,340,000"
